prompt,classname,classidx
"A photo of a Chevrolet Monte Carlo Coupe 2007, a type of car.",Chevrolet Monte Carlo Coupe 2007,71
"A photo of a Chevrolet Malibu Sedan 2007, a type of car.",Chevrolet Malibu Sedan 2007,72
"A photo of a Chevrolet Silverado 1500 Extended Cab 2012, a type of car.",Chevrolet Silverado 1500 Extended Cab 2012,73
"A photo of a Chevrolet Silverado 1500 Regular Cab 2012, a type of car.",Chevrolet Silverado 1500 Regular Cab 2012,74
"A photo of a Chrysler Aspen SUV 2009, a type of car.",Chrysler Aspen SUV 2009,75
"A photo of a Chrysler Sebring Convertible 2010, a type of car.",Chrysler Sebring Convertible 2010,76
"A photo of a Chrysler Town and Country Minivan 2012, a type of car.",Chrysler Town and Country Minivan 2012,77
"A photo of a Chrysler 300 SRT-8 2010, a type of car.",Chrysler 300 SRT-8 2010,78
"A photo of a Chrysler Crossfire Convertible 2008, a type of car.",Chrysler Crossfire Convertible 2008,79
"A photo of a Chrysler PT Cruiser Convertible 2008, a type of car.",Chrysler PT Cruiser Convertible 2008,80
"A photo of a Daewoo Nubira Wagon 2002, a type of car.",Daewoo Nubira Wagon 2002,81
"A photo of a Dodge Caliber Wagon 2012, a type of car.",Dodge Caliber Wagon 2012,82
"A photo of a Dodge Caliber Wagon 2007, a type of car.",Dodge Caliber Wagon 2007,83
"A photo of a Dodge Caravan Minivan 1997, a type of car.",Dodge Caravan Minivan 1997,84
"A photo of a Dodge Ram Pickup 3500 Crew Cab 2010, a type of car.",Dodge Ram Pickup 3500 Crew Cab 2010,85
"A photo of a Dodge Ram Pickup 3500 Quad Cab 2009, a type of car.",Dodge Ram Pickup 3500 Quad Cab 2009,86
"A photo of a Dodge Sprinter Cargo Van 2009, a type of car.",Dodge Sprinter Cargo Van 2009,87
"A photo of a Dodge Journey SUV 2012, a type of car.",Dodge Journey SUV 2012,88
"A photo of a Dodge Dakota Crew Cab 2010, a type of car.",Dodge Dakota Crew Cab 2010,89
"A photo of a Dodge Dakota Club Cab 2007, a type of car.",Dodge Dakota Club Cab 2007,90
"A photo of a Dodge Magnum Wagon 2008, a type of car.",Dodge Magnum Wagon 2008,91
"A photo of a Dodge Challenger SRT8 2011, a type of car.",Dodge Challenger SRT8 2011,92
"A photo of a Dodge Durango SUV 2012, a type of car.",Dodge Durango SUV 2012,93
"A photo of a Dodge Durango SUV 2007, a type of car.",Dodge Durango SUV 2007,94
"A photo of a Dodge Charger Sedan 2012, a type of car.",Dodge Charger Sedan 2012,95
"A photo of a Dodge Charger SRT-8 2009, a type of car.",Dodge Charger SRT-8 2009,96
"A photo of a Eagle Talon Hatchback 1998, a type of car.",Eagle Talon Hatchback 1998,97
"A photo of a FIAT 500 Abarth 2012, a type of car.",FIAT 500 Abarth 2012,98
"A photo of a FIAT 500 Convertible 2012, a type of car.",FIAT 500 Convertible 2012,99
"A photo of a Ferrari FF Coupe 2012, a type of car.",Ferrari FF Coupe 2012,100
"A photo of a Ferrari California Convertible 2012, a type of car.",Ferrari California Convertible 2012,101
"A photo of a Ferrari 458 Italia Convertible 2012, a type of car.",Ferrari 458 Italia Convertible 2012,102
"A photo of a Ferrari 458 Italia Coupe 2012, a type of car.",Ferrari 458 Italia Coupe 2012,103
"A photo of a Fisker Karma Sedan 2012, a type of car.",Fisker Karma Sedan 2012,104
"A photo of a Ford F-450 Super Duty Crew Cab 2012, a type of car.",Ford F-450 Super Duty Crew Cab 2012,105
"A photo of a Ford Mustang Convertible 2007, a type of car.",Ford Mustang Convertible 2007,106
"A photo of a Ford Freestar Minivan 2007, a type of car.",Ford Freestar Minivan 2007,107
"A photo of a Ford Expedition EL SUV 2009, a type of car.",Ford Expedition EL SUV 2009,108
"A photo of a Ford Edge SUV 2012, a type of car.",Ford Edge SUV 2012,109
"A photo of a Ford Ranger SuperCab 2011, a type of car.",Ford Ranger SuperCab 2011,110
"A photo of a Ford GT Coupe 2006, a type of car.",Ford GT Coupe 2006,111
"A photo of a Ford F-150 Regular Cab 2012, a type of car.",Ford F-150 Regular Cab 2012,112
"A photo of a Ford F-150 Regular Cab 2007, a type of car.",Ford F-150 Regular Cab 2007,113
"A photo of a Ford Focus Sedan 2007, a type of car.",Ford Focus Sedan 2007,114
"A photo of a Ford E-Series Wagon Van 2012, a type of car.",Ford E-Series Wagon Van 2012,115
"A photo of a Ford Fiesta Sedan 2012, a type of car.",Ford Fiesta Sedan 2012,116
"A photo of a GMC Terrain SUV 2012, a type of car.",GMC Terrain SUV 2012,117
"A photo of a GMC Savana Van 2012, a type of car.",GMC Savana Van 2012,118
"A photo of a GMC Yukon Hybrid SUV 2012, a type of car.",GMC Yukon Hybrid SUV 2012,119
"A photo of a GMC Acadia SUV 2012, a type of car.",GMC Acadia SUV 2012,120
"A photo of a GMC Canyon Extended Cab 2012, a type of car.",GMC Canyon Extended Cab 2012,121
"A photo of a Geo Metro Convertible 1993, a type of car.",Geo Metro Convertible 1993,122
"A photo of a HUMMER H3T Crew Cab 2010, a type of car.",HUMMER H3T Crew Cab 2010,123
"A photo of a HUMMER H2 SUT Crew Cab 2009, a type of car.",HUMMER H2 SUT Crew Cab 2009,124
"A photo of a Honda Odyssey Minivan 2012, a type of car.",Honda Odyssey Minivan 2012,125
"A photo of a Honda Odyssey Minivan 2007, a type of car.",Honda Odyssey Minivan 2007,126
"A photo of a Honda Accord Coupe 2012, a type of car.",Honda Accord Coupe 2012,127
"A photo of a Honda Accord Sedan 2012, a type of car.",Honda Accord Sedan 2012,128
"A photo of a Hyundai Veloster Hatchback 2012, a type of car.",Hyundai Veloster Hatchback 2012,129
"A photo of a Hyundai Santa Fe SUV 2012, a type of car.",Hyundai Santa Fe SUV 2012,130
"A photo of a Hyundai Tucson SUV 2012, a type of car.",Hyundai Tucson SUV 2012,131
"A photo of a Hyundai Veracruz SUV 2012, a type of car.",Hyundai Veracruz SUV 2012,132
"A photo of a Hyundai Sonata Hybrid Sedan 2012, a type of car.",Hyundai Sonata Hybrid Sedan 2012,133
"A photo of a Hyundai Elantra Sedan 2007, a type of car.",Hyundai Elantra Sedan 2007,134
"A photo of a Hyundai Accent Sedan 2012, a type of car.",Hyundai Accent Sedan 2012,135
"A photo of a Hyundai Genesis Sedan 2012, a type of car.",Hyundai Genesis Sedan 2012,136
"A photo of a Hyundai Sonata Sedan 2012, a type of car.",Hyundai Sonata Sedan 2012,137
"A photo of a Hyundai Elantra Touring Hatchback 2012, a type of car.",Hyundai Elantra Touring Hatchback 2012,138
"A photo of a Hyundai Azera Sedan 2012, a type of car.",Hyundai Azera Sedan 2012,139
"A photo of a Infiniti G Coupe IPL 2012, a type of car.",Infiniti G Coupe IPL 2012,140
"A photo of a Infiniti QX56 SUV 2011, a type of car.",Infiniti QX56 SUV 2011,141
"A photo of a Isuzu Ascender SUV 2008, a type of car.",Isuzu Ascender SUV 2008,142
"A photo of a Jaguar XK XKR 2012, a type of car.",Jaguar XK XKR 2012,143
"A photo of a Jeep Patriot SUV 2012, a type of car.",Jeep Patriot SUV 2012,144
"A photo of a Jeep Wrangler SUV 2012, a type of car.",Jeep Wrangler SUV 2012,145
"A photo of a Jeep Liberty SUV 2012, a type of car.",Jeep Liberty SUV 2012,146
"A photo of a Jeep Grand Cherokee SUV 2012, a type of car.",Jeep Grand Cherokee SUV 2012,147
"A photo of a Jeep Compass SUV 2012, a type of car.",Jeep Compass SUV 2012,148
"A photo of a Lamborghini Reventon Coupe 2008, a type of car.",Lamborghini Reventon Coupe 2008,149
"A photo of a Lamborghini Aventador Coupe 2012, a type of car.",Lamborghini Aventador Coupe 2012,150
"A photo of a Lamborghini Gallardo LP 570-4 Superleggera 2012, a type of car.",Lamborghini Gallardo LP 570-4 Superleggera 2012,151
"A photo of a Lamborghini Diablo Coupe 2001, a type of car.",Lamborghini Diablo Coupe 2001,152
"A photo of a Land Rover Range Rover SUV 2012, a type of car.",Land Rover Range Rover SUV 2012,153
"A photo of a Land Rover LR2 SUV 2012, a type of car.",Land Rover LR2 SUV 2012,154
"A photo of a Lincoln Town Car Sedan 2011, a type of car.",Lincoln Town Car Sedan 2011,155
"A photo of a MINI Cooper Roadster Convertible 2012, a type of car.",MINI Cooper Roadster Convertible 2012,156
"A photo of a Maybach Landaulet Convertible 2012, a type of car.",Maybach Landaulet Convertible 2012,157
"A photo of a Mazda Tribute SUV 2011, a type of car.",Mazda Tribute SUV 2011,158
"A photo of a McLaren MP4-12C Coupe 2012, a type of car.",McLaren MP4-12C Coupe 2012,159
"A photo of a Mercedes-Benz 300-Class Convertible 1993, a type of car.",Mercedes-Benz 300-Class Convertible 1993,160
"A photo of a Mercedes-Benz C-Class Sedan 2012, a type of car.",Mercedes-Benz C-Class Sedan 2012,161
"A photo of a Mercedes-Benz SL-Class Coupe 2009, a type of car.",Mercedes-Benz SL-Class Coupe 2009,162
"A photo of a Mercedes-Benz E-Class Sedan 2012, a type of car.",Mercedes-Benz E-Class Sedan 2012,163
"A photo of a Mercedes-Benz S-Class Sedan 2012, a type of car.",Mercedes-Benz S-Class Sedan 2012,164
"A photo of a Mercedes-Benz Sprinter Van 2012, a type of car.",Mercedes-Benz Sprinter Van 2012,165
"A photo of a Mitsubishi Lancer Sedan 2012, a type of car.",Mitsubishi Lancer Sedan 2012,166
"A photo of a Nissan Leaf Hatchback 2012, a type of car.",Nissan Leaf Hatchback 2012,167
"A photo of a Nissan NV Passenger Van 2012, a type of car.",Nissan NV Passenger Van 2012,168
"A photo of a Nissan Juke Hatchback 2012, a type of car.",Nissan Juke Hatchback 2012,169
"A photo of a Nissan 240SX Coupe 1998, a type of car.",Nissan 240SX Coupe 1998,170
"A photo of a Plymouth Neon Coupe 1999, a type of car.",Plymouth Neon Coupe 1999,171
"A photo of a Porsche Panamera Sedan 2012, a type of car.",Porsche Panamera Sedan 2012,172
"A photo of a Ram C-V Cargo Van Minivan 2012, a type of car.",Ram C-V Cargo Van Minivan 2012,173
"A photo of a Rolls-Royce Phantom Drophead Coupe Convertible 2012, a type of car.",Rolls-Royce Phantom Drophead Coupe Convertible 2012,174
"A photo of a Rolls-Royce Ghost Sedan 2012, a type of car.",Rolls-Royce Ghost Sedan 2012,175
"A photo of a Rolls-Royce Phantom Sedan 2012, a type of car.",Rolls-Royce Phantom Sedan 2012,176
"A photo of a Scion xD Hatchback 2012, a type of car.",Scion xD Hatchback 2012,177
"A photo of a Spyker C8 Convertible 2009, a type of car.",Spyker C8 Convertible 2009,178
"A photo of a Spyker C8 Coupe 2009, a type of car.",Spyker C8 Coupe 2009,179
"A photo of a Suzuki Aerio Sedan 2007, a type of car.",Suzuki Aerio Sedan 2007,180
"A photo of a Suzuki Kizashi Sedan 2012, a type of car.",Suzuki Kizashi Sedan 2012,181
"A photo of a Suzuki SX4 Hatchback 2012, a type of car.",Suzuki SX4 Hatchback 2012,182
"A photo of a Suzuki SX4 Sedan 2012, a type of car.",Suzuki SX4 Sedan 2012,183
"A photo of a Tesla Model S Sedan 2012, a type of car.",Tesla Model S Sedan 2012,184
"A photo of a Toyota Sequoia SUV 2012, a type of car.",Toyota Sequoia SUV 2012,185
"A photo of a Toyota Camry Sedan 2012, a type of car.",Toyota Camry Sedan 2012,186
"A photo of a Toyota Corolla Sedan 2012, a type of car.",Toyota Corolla Sedan 2012,187
"A photo of a Toyota 4Runner SUV 2012, a type of car.",Toyota 4Runner SUV 2012,188
"A photo of a Volkswagen Golf Hatchback 2012, a type of car.",Volkswagen Golf Hatchback 2012,189
"A photo of a Volkswagen Golf Hatchback 1991, a type of car.",Volkswagen Golf Hatchback 1991,190
"A photo of a Volkswagen Beetle Hatchback 2012, a type of car.",Volkswagen Beetle Hatchback 2012,191
"A photo of a Volvo C30 Hatchback 2012, a type of car.",Volvo C30 Hatchback 2012,192
"A photo of a Volvo 240 Sedan 1993, a type of car.",Volvo 240 Sedan 1993,193
"A photo of a Volvo XC90 SUV 2007, a type of car.",Volvo XC90 SUV 2007,194
"A photo of a smart fortwo Convertible 2012, a type of car.",smart fortwo Convertible 2012,195
